Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/23,Wednesday,MESSAGES,47,Communication
8/23,Wednesday,TIKTOK,28,Social Media
8/23,Wednesday,SNAPCHAT,23,Social Media
8/23,Wednesday,GMAIL,10,Work
8/23,Wednesday,PHOTOS,10,Other
8/24,Thursday,TIKTOK,96,Social Media
8/24,Thursday,CALCULATOR,58,Education
8/24,Thursday,SNAPCHAT,53,Social Media
8/24,Thursday,GMAIL,28,Work
8/24,Thursday,MUSIC,22,Entertainment
8/24,Thursday,INSTAGRAM,13,Social Media
8/24,Thursday,FINDMY,10,Other
8/25,Friday,TIKTOK,67,Social Media
8/25,Friday,SNAPCHAT,52,Social Media
8/25,Friday,MUSIC,30,Entertainment
8/25,Friday,MESSAGES,27,Communication
8/25,Friday,GMAIL,23,Work
8/25,Friday,INSTAGRAM,21,Social Media
8/25,Friday,MAPS,10,Travel
8/25,Friday,TICKETMASTER,10,Other
8/26,Saturday,TIKTOK,84,Social Media
8/26,Saturday,SNAPCHAT,53,Social Media
8/26,Saturday,MESSAGES,46,Communication
8/26,Saturday,INSTAGRAM,43,Social Media
8/26,Saturday,PHOTOS,18,Other
8/26,Saturday,MAPS,16,Travel
8/26,Saturday,GMAIL,15,Work
8/26,Saturday,SAFARI,12,Other
8/26,Saturday,MUSIC,10,Entertainment
8/27,Sunday,TIKTOK,93,Social Media
8/27,Sunday,SNAPCHAT,46,Social Media
8/27,Sunday,GMAIL,34,Work
8/27,Sunday,MESSAGES,18,Communication
8/27,Sunday,INSTAGRAM,17,Social Media
8/27,Sunday,SAFARI,15,Other
8/27,Sunday,PHOTOS,13,Other
8/28,Monday,SNAPCHAT,50,Social Media
8/28,Monday,GMAIL,32,Work
8/28,Monday,MESSAGES,29,Communication
8/28,Monday,TIKTOK,27,Social Media
8/29,Tuesday,MESSAGES,51,Communication
8/29,Tuesday,SNAPCHAT,47,Social Media
8/29,Tuesday,GMAIL,42,Work
8/29,Tuesday,TIKTOK,33,Social Media
8/29,Tuesday,INSTAGRAM,20,Social Media
8/29,Tuesday,PHOTOS,20,Other
8/29,Tuesday,MUSIC,18,Entertainment
8/29,Tuesday,GOOGLE DRIVE,15,Education
8/29,Tuesday,PETEXEC,10,Work